S1,S2,S3,S4,S5,S6,S7,S8
1.007379021,0.993897465,1.002119499,1.000607134,1.004129641,1.002486061,0.994366627,1.002755726
1.007379021,0.993574455,1.001556193,1.000357889,1.004387801,1.002323287,0.99489387,1.002513671
1.007379021,0.992570604,1.000496742,1.000862552,1.004387801,1.00240975,0.993847829,1.002137339
1.006838818,0.992210114,0.999776474,1.001876262,1.004129641,1.002172177,0.993862066,1.001858583
1.006658761,0.991829722,0.999294858,1.001885585,1.004129641,1.001966623,0.993864411,1.001625898
1.006298659,0.991506265,0.998541779,1.002141662,1.004387801,1.00163234,0.993354913,1.001090792
1.005938577,0.991105257,0.997724396,1.001648868,1.004129641,1.001429121,0.993371169,1.000843474
1.005578514,0.990777859,0.997014137,1.002156142,1.003871489,1.001291972,0.993897516,1.000376738
1.005758543,0.990057372,0.996280077,1.001913568,1.004387801,1.00127059,0.994162568,1.000067223
1.005578514,0.989108795,0.995464454,1.00166545,1.004129641,1.001155987,0.994165818,0.999754967
1.00539849,0.988151558,0.994566653,1.002432743,1.003613342,1.000989675,0.994693639,0.999463225
1.004498441,0.98710805,0.993919021,1.001931222,1.003871489,1.001154353,0.994705484,0.999105327
1.00395847,0.986114805,0.993125701,1.002943504,1.003355203,1.001253967,0.995233976,0.998941289
1.004138456,0.985190022,0.992582812,1.002950404,1.002580825,1.001131975,0.995768923,0.998712565
1.003598513,0.984254442,0.992064813,1.002704938,1.002322712,1.001242737,0.995246097,0.998554549
1.004138456,0.9833127,0.991312498,1.002456053,1.002580825,1.001267566,0.995267949,0.998241685
1.003598513,0.982432405,0.990568783,1.00270956,1.002064606,1.001155048,0.996078001,0.998189555
1.003778489,0.982043775,0.99037108,1.002709932,1.001806507,1.001130393,0.99530488,0.997919696
1.004138456,0.981614179,0.990564133,1.003467408,1.002064606,1.001338936,0.99559301,0.997886695
1.00395847,0.981127036,0.990820611,1.002969504,1.002322712,1.001551122,0.995331234,0.997761839
1.003598513,0.980804911,0.991856595,1.003221798,1.002064606,1.001875428,0.995334584,0.99765335
1.003598513,0.980620948,0.992905024,1.002722262,1.001806507,1.002249491,0.995344904,0.99783737
1.003598513,0.980502537,0.993783381,1.002471592,1.001806507,1.002700718,0.995097603,0.997831305
1.003418542,0.980322554,0.994698897,1.001968644,1.001548414,1.003057848,0.995390362,0.997672967
1.003418542,0.980127121,0.995471252,1.000720937,1.001806507,1.003434242,0.995677846,0.9977202
1.003778489,0.979968945,0.99652485,1.000721769,1.001806507,1.003815682,0.994899363,0.997806841
1.003598513,0.980109307,0.996945559,1.0009812,1.001548414,1.003711647,0.995173781,0.998212119
1.003418542,0.980288146,0.997212124,1.001232775,1.001548414,1.003777863,0.994654342,0.998471209
1.003778489,0.980446039,0.997440462,1.001490698,1.001806507,1.003839809,0.99386821,0.998741117
1.003598513,0.98102503,0.99807726,1.000763478,1.001032249,1.003895033,0.994921426,0.999032316
1.003598513,0.981693615,0.998510739,1.001017922,1.001290329,1.003940672,0.995184055,0.999237774
1.003778489,0.982539823,0.998873313,1.000774906,1.002580825,1.004042706,0.994422903,0.999340604
1.004678442,0.983394527,0.999325865,1.001029538,1.003355203,1.00412568,0.994434526,0.999563056
1.005218471,0.98424573,0.999885483,1.000784121,1.003871489,1.00413913,0.993915735,0.999877019
1.005218471,0.985038444,1.00030168,1.000786832,1.00490414,1.004230432,0.993664754,1.000109691
1.005578514,0.985346255,1.00057785,1.000284912,1.005420506,1.004256357,0.994199236,1.000126646
1.005578514,0.985930425,1.000953216,1.000795782,1.00516232,1.004531077,0.994206321,1.00028282
1.00539849,0.98640885,1.001675781,1.000818064,1.00490414,1.004807061,0.99394526,1.000468287
1.00539849,0.986485522,1.001788313,1.001829851,1.00490414,1.005029302,0.994996324,1.000620389
1.005038456,0.986541784,1.001441995,1.002102133,1.00516232,1.00507443,0.995522004,1.00070535
1.005218471,0.986667645,1.001356344,1.001868521,1.00490414,1.005193063,0.995800479,1.000681507
1.00539849,0.986852175,1.001650399,1.002127046,1.004645967,1.00528501,0.995548935,1.000876906
1.005218471,0.987034609,1.001499235,1.002891119,1.004645967,1.005256962,0.995030342,1.000943623
1.004678442,0.987107472,1.00115376,1.003651831,1.00490414,1.005409817,0.995298193,1.001270096
1.004138456,0.987538966,1.000917835,1.003655492,1.005678699,1.005006757,0.995300757,1.00146241
1.004318446,0.987832056,1.000517738,1.003658271,1.00490414,1.0050717,0.994043163,1.001353973
1.00395847,0.988178998,0.9998369,1.003688695,1.00490414,1.005074506,0.994579779,1.001529194
1.004138456,0.988186204,0.999556038,1.003210064,1.005420506,1.005479942,0.994055296,1.001360088
1.00395847,0.988096807,0.999632955,1.00270735,1.00490414,1.005672894,0.9938066,1.001157912
1.00395847,0.987998946,0.999711119,1.002959694,1.005678699,1.005865721,0.99461997,1.001100948
1.003598513,0.987929748,0.999701976,1.002964104,1.005936899,1.005994577,0.993578069,1.000942275
1.003598513,0.987969534,0.999470563,1.003472582,1.006195106,1.006365118,0.993579979,1.001109421
1.003418542,0.987961612,0.999385125,1.003475915,1.005678699,1.006548085,0.993600513,1.000986211
1.003058613,0.988199023,0.999185844,1.003729419,1.005420506,1.005917571,0.99387496,1.001169691
1.002698704,0.988167456,0.999375795,1.003983152,1.00516232,1.005938924,0.994940526,1.001128756
1.002518757,0.988110229,0.998982002,1.004004108,1.004645967,1.005883804,0.995203338,1.001023423
1.002878656,0.988563022,0.998956053,1.00375482,1.004129641,1.005878782,0.994953324,1.001083278
1.002698704,0.988792248,0.998795812,1.003524897,1.004387801,1.005676992,0.995216963,1.001038694
1.002878656,0.989044327,0.99843571,1.003027403,1.004387801,1.00544568,0.99628162,1.001004849
1.002698704,0.989270859,0.998007605,1.002025799,1.004129641,1.005302912,0.996032506,1.001080619
1.002698704,0.989512054,0.997592488,1.001524939,1.003355203,1.005199586,0.996307953,1.001181084
1.002878656,0.989683597,0.997329098,1.00185833,1.003355203,1.004944323,0.996313026,1.001120495
1.003058613,0.989472769,0.997107124,1.001365551,1.004129641,1.00404598,0.9968408,1.000935673
1.003418542,0.989142608,0.99673662,1.000867464,1.004129641,1.003787272,0.997628269,1.000689084
1.003598513,0.988758483,0.996127742,1.000365127,1.003613342,1.003221571,0.996854916,1.0004693
1.004318446,0.988033166,0.995590982,1.000114155,1.003355203,1.003290002,0.997123145,1.000376397
1.004678442,0.9873748,0.995359038,1.000620861,1.004387801,1.00293296,0.997654318,1.000669375
1.005038456,0.986672647,0.995091423,1.001382169,1.004387801,1.002706522,0.997918816,1.000637704
1.005218471,0.985972233,0.994726312,1.001633936,1.004387801,1.002407246,0.997919974,1.000546814
1.00539849,0.985446413,0.99440694,1.002148558,1.004645967,1.002153147,0.998460697,1.000564944
1.005218471,0.984837441,0.994323972,1.001396389,1.003871489,1.001951478,0.997938003,1.000541398
1.005218471,0.984831043,0.994048372,1.00165378,1.003871489,1.001372127,0.998207415,1.000367334
1.005578514,0.984962009,0.994287859,1.001403939,1.003355203,1.000369263,0.997948322,1.000127408
1.006118616,0.985145254,0.994368429,1.000667321,1.002838944,0.999407042,0.998483858,1.00007109
1.006118616,0.985108437,0.994446097,1.000417782,1.001806507,0.99931407,0.998497563,0.999890897
1.006118616,0.985302052,0.994261194,0.999936133,1.001548414,0.998600118,0.99719067,0.999509922
1.006118616,0.985570695,0.994251397,0.999702346,1.001290329,0.998002064,0.99692871,0.99935
1.005758543,0.985757975,0.994153149,0.999206752,1.001290329,0.997357779,0.996950464,0.999512697
1.005758543,0.985938223,0.993914559,0.999462358,1.001290329,0.996833328,0.996695394,0.999494012
1.006118616,0.986227588,0.993734795,0.999717669,1.001032249,0.996185344,0.995649283,0.999278232
1.023785763,0.99253739,0.994555685,1.00323932,1.001806507,0.996075331,0.995396701,0.998605147
1.029564662,1.000060283,0.99659536,1.004508059,1.001806507,0.996253797,0.995147937,0.997924962
1.035167692,1.00754485,0.998584188,1.005515721,1.002580825,0.996377987,0.994374384,0.997607437
1.0413183,1.015482045,1.001284852,1.00653359,1.002322712,0.997234995,0.994116347,0.99740557
1.046749961,1.023537303,1.003418003,1.007793054,1.002580825,0.997438481,0.994380659,0.997296864
1.05309242,1.031908053,1.005764443,1.008815962,1.003355203,0.997714419,0.995169813,0.997192337
