S1,S2,S3,S4,S5,S6,S7,S8
0.999848433,1.007471393,1.01309655,0.999564495,0.998221245,1.016582497,1.004720141,1.009811223
1,1.007825936,1.012997057,0.999564495,0.998443569,1.016312602,1.004720141,1.009982236
1.000454724,1.008231257,1.012897574,1,0.998221245,1.01615069,1.004045677,1.009992792
1.001819118,1.008535338,1.012847836,0.999564495,0.998665899,1.015934836,1.003596063,1.009883167
1.002880542,1.008433969,1.013046802,0.999782245,0.999110576,1.015988797,1.003371266,1.010000884
1.002880542,1.008433969,1.01309655,1.000217761,0.998888234,1.015880878,1.002921687,1.010059254
1.003335499,1.008535338,1.0131463,1.0006533,0.998888234,1.015772968,1.003596063,1.010117796
1.003790493,1.008586026,1.013245809,1.001088861,0.999110576,1.015772968,1.003371266,1.010174396
1.003790493,1.008281932,1.013345327,1.001306651,1,1.015665066,1.002921687,1.010118268
1.00348716,1.007977915,1.01339509,1.001306651,1,1.015503228,1.002696907,1.010289358
1.003638824,1.007724627,1.013594166,1.002613506,1.000667129,1.01534141,1.003820867,1.010347234
1.003335499,1.007522036,1.013693719,1.003484857,1.000667129,1.015071753,1.003596063,1.010350876
1.003335499,1.007471393,1.013643941,1.003267011,1.000222371,1.014694322,1.002696907,1.010300516
1.003183843,1.007218213,1.013693719,1.003484857,0.999555276,1.014478692,1.002022601,1.010305035
1.003183843,1.006965087,1.013693719,1.003484857,0.999777635,1.014316992,1.002247364,1.010493514
1.003183843,1.006712015,1.013892855,1.003920566,1.000222371,1.013939763,1.002247364,1.010437839
1.002728898,1.006408399,1.013992438,1.00413843,1.000667129,1.013670376,1.001573093,1.010326243
1.002880542,1.006155445,1.013992438,1.004356299,1.001111911,1.013508769,1.001348348,1.010169904
1.002880542,1.005953121,1.013942645,1.004356299,1.001556715,1.013239465,1.000674148,1.010236177
1.00303219,1.005649699,1.013892855,1.00413843,1.002223966,1.013024059,1.000674148,1.010181678
1.002880542,1.005295805,1.013892855,1.003920566,1.001779126,1.012808687,1.000674148,1.010243236
1.002577258,1.004891483,1.013843067,1.003702709,1.00133431,1.012647179,1.00022471,1.010300599
1.002577258,1.004588331,1.014042233,1.003920566,1.00133431,1.012593347,1.000449426,1.010254013
1.00227399,1.004285258,1.014042233,1.004574173,1.00133431,1.012701013,1.001348348,1.010312257
1.001970738,1.004436785,1.014191634,1.005227831,1.00133431,1.012701013,1.000898875,1.010391216
1.001819118,1.004436785,1.014341057,1.005227831,1.000667129,1.012647179,1.000674148,1.01019383
1.002122362,1.004436785,1.014540323,1.004792054,1.000889517,1.012701013,1.001348348,1.010175297
1.001970738,1.004386274,1.014739629,1.00500994,1.001111911,1.012647179,1.000674148,1.009956517
1.001819118,1.004436785,1.014889135,1.005663632,1.00133431,1.012647179,1.001123609,1.009904483
1.001970738,1.004840952,1.015038663,1.00500994,1.000667129,1.012808687,1.001348348,1.009798707
1.002425622,1.005245257,1.015188214,1.004574173,1.000444747,1.013024059,1.001573093,1.009743477
1.002880542,1.005649699,1.015637001,1.00413843,1.000444747,1.013454904,1.000674148,1.009579244
1.003183843,1.005851972,1.016135891,1.003267011,1,1.013885882,1.00022471,1.009579656
1.003335499,1.006003699,1.016585106,1.003484857,1.000222371,1.014316992,1.00022471,1.00969794
1.003790493,1.006256621,1.017034525,1.002613506,1.000889517,1.014802149,1.000674148,1.009699126
1.003942166,1.006458997,1.017534117,1.00304917,1.000889517,1.015071753,1.000449426,1.009700501
1.003942166,1.006661407,1.017784007,1.002831335,1.000667129,1.015557172,0.999775296,1.009735048
1.003942166,1.006914468,1.018283975,1.002613506,1.000667129,1.015934836,0.999775296,1.009915198
1.003942166,1.007116956,1.018684131,1.001960053,1.000222371,1.016258629,0.999550597,1.01009253
1.003790493,1.006104861,1.017634065,1.002395683,1.000444747,1.015826922,0.999550597,1.010107388
1.003638824,1.005447461,1.01673489,1.002395683,1.000444747,1.015395347,1,1.009995998
1.003790493,1.004739897,1.015786642,1.002831335,1.000667129,1.014963905,0.999775296,1.009658195
1.003638824,1.004083251,1.014839297,1.003484857,1.001111911,1.014640411,1,1.009392521
1.003638824,1.003326033,1.013643941,1.00304917,1.000889517,1.014209202,0.999550597,1.009082362
1.003638824,1.002418009,1.012648909,1.002177865,1.00133431,1.013670376,0.999101218,1.008804969
1.003335499,1.001258765,1.011555525,1.001088861,1.001779126,1.013131758,0.999101218,1.008580162
1.003183843,1.000301982,1.010264895,1.000871078,1.002223966,1.012647179,0.998876538,1.008524334
1.002577258,1.000704744,1.010463344,1.000435527,1.002001543,1.012808687,0.999101218,1.008356828
1.002880542,1.001107642,1.010860362,1,1.002001543,1.013077908,0.998876538,1.008365876
1.002728898,1.001460291,1.011307196,0.998693554,1.001111911,1.013239465,0.997977873,1.008318201
1.002728898,1.001863447,1.011754232,0.999346751,1.00133431,1.013401041,0.99820253,1.008444334
1.00303219,1.002266739,1.01220147,0.999782245,1.001111911,1.013508769,0.99820253,1.008456981
1.00303219,1.002619732,1.012251175,0.999346751,1.001111911,1.013562636,0.997977873,1.008404078
1.004245524,1.003225108,1.012350594,0.999564495,1.001111911,1.013562636,0.997753221,1.008295041
1.004245524,1.003780306,1.012450022,0.999129013,1.000889517,1.013508769,0.997753221,1.008246986
1.004093843,1.004234753,1.012847836,0.999346751,1.000444747,1.013670376,0.997528576,1.008417559
1.004093843,1.004942015,1.013196053,0.999346751,1.000667129,1.014209202,0.997753221,1.00843596
1.004548898,1.005700264,1.013693719,0.998911281,1.000222371,1.014640411,0.997303936,1.008559938
1.004700592,1.006458997,1.013992438,0.998911281,1.001111911,1.015071753,0.997303936,1.008683254
1.005155696,1.007167584,1.014440685,0.999782245,1.001556715,1.015557172,0.996854674,1.008696244
1.005914285,1.009194447,1.01638543,0.999129013,1.001779126,1.01690644,0.997528576,1.008978992
1.006824727,1.010818426,1.018083958,0.999564495,1.001779126,1.01820296,0.997303936,1.00926761
1.00652123,1.012444621,1.019885564,0.999346751,1.001779126,1.019392489,0.997977873,1.009722119
1.006672976,1.013971197,1.021690434,0.999564495,1.001556715,1.020745452,0.997303936,1.010061763
1.006976481,1.015805669,1.023599127,1.000217761,1.001779126,1.02199133,0.997977873,1.010749456
1.007280003,1.01769404,1.025410736,1.001088861,1.002446394,1.023184074,0.998651863,1.011428052
1.008190665,1.019687722,1.027276097,1.002177865,1.001779126,1.024377831,0.999325905,1.011936014
